osm_id,feat_type,key,value,commentary
259049978,node,surface,MISSING,Surface tag is recommended to assess accessibility
266723086,node,surface,MISSING,Surface tag is recommended to assess accessibility
1405243150,node,surface,MISSING,Surface tag is recommended to assess accessibility
1496240252,node,surface,MISSING,Surface tag is recommended to assess accessibility
4561908827,node,surface,MISSING,Surface tag is recommended to assess accessibility
4561908828,node,surface,MISSING,Surface tag is recommended to assess accessibility
4561908829,node,surface,MISSING,Surface tag is recommended to assess accessibility
111985985,way,surface,MISSING,Surface tag is recommended to assess accessibility
122890080,way,surface,MISSING,Surface tag is recommended to assess accessibility
123546110,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723395,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723435,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723436,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723437,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723438,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723440,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723441,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723442,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723443,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723447,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723448,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723449,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723450,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723452,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723453,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723457,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723459,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723462,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723464,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723465,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723466,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723467,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723469,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723474,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723482,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723487,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824525,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824527,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824528,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824532,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824533,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824534,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824536,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824537,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824538,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824540,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824541,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824542,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824543,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824544,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824545,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824546,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824547,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824548,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824549,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824551,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824552,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824553,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824554,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824555,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824556,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824558,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824559,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824560,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824561,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824563,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824564,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824566,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824567,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824568,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824569,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824570,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824571,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824572,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824574,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824575,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824576,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824577,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824579,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824580,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824592,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824595,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862184,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862185,way,surface,MISSING,Surface tag is recommended to assess accessibility
