osm_id,feat_type,key,value,commentary
111985985,way,last_update,4-10-2012,Feature has not been updated in 5 years or more
123546110,way,last_update,31-8-2011,Feature has not been updated in 5 years or more
124723395,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124723435,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
124723436,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723437,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
124723438,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723440,way,last_update,13-8-2011,Feature has not been updated in 5 years or more
124723441,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723442,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
124723443,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124723447,way,last_update,13-8-2011,Feature has not been updated in 5 years or more
124723448,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723449,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
124723450,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124723452,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124723453,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
124723457,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124723459,way,last_update,14-4-2021,Feature has not been updated in 5 years or more
124723462,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
124723464,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
124723465,way,last_update,13-8-2011,Feature has not been updated in 5 years or more
124723466,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
124723467,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
124723469,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723474,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723482,way,last_update,13-8-2011,Feature has not been updated in 5 years or more
124824525,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824527,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824528,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824532,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824533,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824534,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824536,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824537,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824538,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824540,way,last_update,15-12-2011,Feature has not been updated in 5 years or more
124824541,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824542,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824543,way,last_update,16-8-2011,Feature has not been updated in 5 years or more
124824544,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824545,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824546,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824547,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824548,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824549,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824551,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824552,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824553,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824554,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824555,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824556,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824558,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824559,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824560,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824561,way,last_update,15-12-2011,Feature has not been updated in 5 years or more
124824563,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824564,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824566,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824567,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824568,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824569,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824571,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824572,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824574,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824575,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824576,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824577,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824580,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124862184,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124862185,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124862189,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124862191,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
