osm_id,feat_type,key,value,commentary
124723459,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
124824592,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
124824595,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
124862319,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
124950964,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
124950967,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
124950977,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125450962,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125844794,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125844797,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125844813,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125844817,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125844818,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
125844829,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
127018797,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128396511,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600806,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600807,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600819,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600822,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600825,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600832,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128600850,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
128714889,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
129836121,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
129836125,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
129836128,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131340575,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131340605,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
131340611,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
131340612,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
131340613,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
131414274,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414326,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414327,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414332,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414334,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414336,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414337,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414338,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414339,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414340,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414351,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131414352,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131417153,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131417154,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
131417162,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
132314514,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
132314517,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
132314522,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
136396799,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
139216614,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
139216616,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
139216630,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
