osm_id,feat_type,key,value,commentary
1346548948,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1472872676,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1525967066,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5817990857,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5817990858,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
12925825300,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
361221371,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
627293059,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
627293060,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
627293061,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
627293062,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
627293063,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1194297522,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1242530065,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1249023474,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1385548986,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1390687014,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1390687015,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1486509189,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1486509190,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1486509194,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1486509195,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1491202254,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1491202255,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1500762812,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1526775676,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1526775677,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1537510356,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1537510357,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1537586847,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1537586848,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1549973993,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
