osm_id,feat_type,key,value,commentary
124862347,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
139216551,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
139216553,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
139216677,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
139216711,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
139216729,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
139216730,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
609134316,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
609134327,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
609134330,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
627293053,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
627293054,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
627293055,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
627293056,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
627293057,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
627293058,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413468,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413469,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413470,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413471,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413472,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413473,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
641413474,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
