osm_id,feat_type,key,value,commentary
1396667995,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4285982373,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7468609446,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7502200182,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8690802688,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11471988899,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11471988908,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11471988909,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11871661138,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11871661151,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11871761412,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11871981943,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11872142181,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11872142353,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12461088058,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12461088253,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12849167176,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13308246183,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13308246199,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13308246214,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13437798124,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13437798125,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13437798126,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13437798127,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13437798128,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13437798129,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562569,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562736,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562794,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562801,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562883,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562905,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562906,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533562971,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13533563011,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13542409681,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13542409683,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13565910825,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13572981206,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13607940051,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
13670590480,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
