osm_id,feat_type,key,value,commentary
263136673,node,surface,MISSING,Surface tag is recommended to assess accessibility
728666976,node,surface,MISSING,Surface tag is recommended to assess accessibility
728682544,node,surface,MISSING,Surface tag is recommended to assess accessibility
1195026361,node,surface,MISSING,Surface tag is recommended to assess accessibility
1218474008,node,surface,MISSING,Surface tag is recommended to assess accessibility
1218474224,node,surface,MISSING,Surface tag is recommended to assess accessibility
1280176071,node,surface,MISSING,Surface tag is recommended to assess accessibility
1369672134,node,surface,MISSING,Surface tag is recommended to assess accessibility
1369672149,node,surface,MISSING,Surface tag is recommended to assess accessibility
1369672178,node,surface,MISSING,Surface tag is recommended to assess accessibility
1369672192,node,surface,MISSING,Surface tag is recommended to assess accessibility
1390550191,node,surface,MISSING,Surface tag is recommended to assess accessibility
1390550194,node,surface,MISSING,Surface tag is recommended to assess accessibility
1390550198,node,surface,MISSING,Surface tag is recommended to assess accessibility
1393641387,node,surface,MISSING,Surface tag is recommended to assess accessibility
1393641398,node,surface,MISSING,Surface tag is recommended to assess accessibility
1393641556,node,surface,MISSING,Surface tag is recommended to assess accessibility
1393641558,node,surface,MISSING,Surface tag is recommended to assess accessibility
1394637957,node,surface,MISSING,Surface tag is recommended to assess accessibility
1394637961,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395937903,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395937907,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395937912,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395937919,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395938446,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395938461,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395938467,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395938469,node,surface,MISSING,Surface tag is recommended to assess accessibility
1395938476,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398061918,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398061919,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398061938,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398061939,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398061954,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398061955,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398062095,node,surface,MISSING,Surface tag is recommended to assess accessibility
1398587212,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571267,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571270,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571272,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571293,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571298,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571325,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571338,node,surface,MISSING,Surface tag is recommended to assess accessibility
1400571368,node,surface,MISSING,Surface tag is recommended to assess accessibility
1403245187,node,surface,MISSING,Surface tag is recommended to assess accessibility
