osm_id,feat_type,key,value,commentary
1708648,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
1918489,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2116087,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2323147,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2374513,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2374521,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2394653,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2410236,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2418443,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2430592,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2587140,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2824309,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3234374,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
9041046,relation,last_update,29-1-2013,Feature has not been updated in 5 years or more
9521568,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
9582989,relation,last_update,24-4-2019,Feature has not been updated in 5 years or more
10224595,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
10643614,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
10643615,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
10643616,relation,last_update,16-6-2020,Feature has not been updated in 5 years or more
10643617,relation,last_update,26-8-2020,Feature has not been updated in 5 years or more
10648437,relation,last_update,27-5-2011,Feature has not been updated in 5 years or more
13592880,relation,last_update,2-7-2014,Feature has not been updated in 5 years or more
26745793,way,last_update,24-11-2008,Feature has not been updated in 5 years or more
26745865,way,last_update,18-2-2012,Feature has not been updated in 5 years or more
27298559,way,last_update,19-2-2012,Feature has not been updated in 5 years or more
28238942,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
28595727,way,last_update,17-6-2012,Feature has not been updated in 5 years or more
29314901,way,last_update,29-6-2012,Feature has not been updated in 5 years or more
29315107,way,last_update,29-6-2012,Feature has not been updated in 5 years or more
