osm_id,feat_type,key,value,commentary
125321991,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
125322034,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
128008666,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
128278053,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
128278072,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
128396452,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
133476694,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
166675516,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
172739635,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
192579900,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
796594219,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1075461224,way,crossing,traffic_signals,"It's inappropriate for Sidewalks, probably mistakenly tagged"
