osm_id,feat_type,key,value,commentary
26158952,way,surface,MISSING,Surface tag is recommended to assess accessibility
29314847,way,surface,MISSING,Surface tag is recommended to assess accessibility
30813094,way,surface,MISSING,Surface tag is recommended to assess accessibility
33733848,way,surface,MISSING,Surface tag is recommended to assess accessibility
33734220,way,surface,MISSING,Surface tag is recommended to assess accessibility
60945176,way,surface,MISSING,Surface tag is recommended to assess accessibility
99288327,way,surface,MISSING,Surface tag is recommended to assess accessibility
99288331,way,surface,MISSING,Surface tag is recommended to assess accessibility
99288354,way,surface,MISSING,Surface tag is recommended to assess accessibility
103496381,way,surface,MISSING,Surface tag is recommended to assess accessibility
111598819,way,surface,MISSING,Surface tag is recommended to assess accessibility
122385401,way,surface,MISSING,Surface tag is recommended to assess accessibility
122385403,way,surface,MISSING,Surface tag is recommended to assess accessibility
122385404,way,surface,MISSING,Surface tag is recommended to assess accessibility
122385408,way,surface,MISSING,Surface tag is recommended to assess accessibility
122385409,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620386,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620388,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620389,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620390,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620393,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620394,way,surface,MISSING,Surface tag is recommended to assess accessibility
122620395,way,surface,MISSING,Surface tag is recommended to assess accessibility
122890073,way,surface,MISSING,Surface tag is recommended to assess accessibility
122890077,way,surface,MISSING,Surface tag is recommended to assess accessibility
122890078,way,surface,MISSING,Surface tag is recommended to assess accessibility
123432078,way,surface,MISSING,Surface tag is recommended to assess accessibility
123660887,way,surface,MISSING,Surface tag is recommended to assess accessibility
123660888,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685296,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685299,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685300,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685304,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685305,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685306,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685307,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685308,way,surface,MISSING,Surface tag is recommended to assess accessibility
123685309,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723397,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723401,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723402,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723404,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723405,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723407,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723411,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723412,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723413,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723416,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723417,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723418,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723420,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723422,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723423,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723426,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723427,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723428,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723431,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723454,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723456,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723470,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723471,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723475,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723476,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723478,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723479,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723481,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723483,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723484,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723485,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723486,way,surface,MISSING,Surface tag is recommended to assess accessibility
124723488,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824457,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824458,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824459,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824461,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824462,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824463,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824465,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824466,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824467,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824468,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824470,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824471,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824472,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824475,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824476,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824477,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824479,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824482,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824483,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824484,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824485,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824486,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824487,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824488,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824489,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824490,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824491,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824492,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824493,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824495,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824496,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824497,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824498,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824499,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824500,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824501,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824502,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824503,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824504,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824505,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824506,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824507,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824508,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824509,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824510,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824512,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824513,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824514,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824515,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824516,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824518,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824519,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824520,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824521,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824522,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824523,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824526,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824529,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824530,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824531,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824535,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824539,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824550,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824557,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824562,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824565,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824581,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824582,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824585,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824587,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824589,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824590,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824591,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824593,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824594,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824596,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824597,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824599,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824600,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824601,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824603,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824604,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824605,way,surface,MISSING,Surface tag is recommended to assess accessibility
124824606,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862017,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862024,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862027,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862039,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862041,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862045,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862053,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862060,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862065,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862068,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862074,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862075,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862086,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862087,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862088,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862089,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862090,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862091,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862092,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862095,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862097,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862098,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862102,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862103,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862105,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862106,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862107,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862108,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862109,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862111,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862113,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862116,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862119,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862121,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862122,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862126,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862130,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862138,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862139,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862143,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862154,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862155,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862157,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862168,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862172,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862174,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862179,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862180,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862208,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862243,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862256,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862310,way,surface,MISSING,Surface tag is recommended to assess accessibility
124862311,way,surface,MISSING,Surface tag is recommended to assess accessibility
