osm_id,feat_type,key,value,commentary
29314847,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
30813094,way,last_update,30-8-2011,Feature has not been updated in 5 years or more
60945176,way,last_update,13-10-2018,Feature has not been updated in 5 years or more
103496381,way,last_update,7-2-2012,Feature has not been updated in 5 years or more
111598819,way,last_update,27-5-2020,Feature has not been updated in 5 years or more
122385401,way,last_update,30-8-2011,Feature has not been updated in 5 years or more
122385403,way,last_update,30-8-2011,Feature has not been updated in 5 years or more
122385404,way,last_update,8-10-2019,Feature has not been updated in 5 years or more
122385409,way,last_update,30-8-2011,Feature has not been updated in 5 years or more
122620386,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
122620388,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
122620389,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
122620390,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
122620393,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
122620394,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
122620395,way,last_update,14-8-2011,Feature has not been updated in 5 years or more
123660887,way,last_update,31-8-2011,Feature has not been updated in 5 years or more
123660888,way,last_update,18-2-2020,Feature has not been updated in 5 years or more
123685299,way,last_update,14-4-2021,Feature has not been updated in 5 years or more
123685300,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
123685304,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
123685305,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
123685306,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
123685307,way,last_update,5-8-2011,Feature has not been updated in 5 years or more
123685308,way,last_update,10-8-2011,Feature has not been updated in 5 years or more
123685309,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723397,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723401,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723404,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723405,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723407,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723411,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723412,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723413,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723416,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723417,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723418,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723420,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723422,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723426,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723427,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723428,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723431,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723454,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723456,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723475,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723476,way,last_update,8-12-2011,Feature has not been updated in 5 years or more
124723478,way,last_update,8-12-2011,Feature has not been updated in 5 years or more
124723481,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723483,way,last_update,14-4-2021,Feature has not been updated in 5 years or more
124723485,way,last_update,18-9-2016,Feature has not been updated in 5 years or more
124723486,way,last_update,6-11-2016,Feature has not been updated in 5 years or more
124723488,way,last_update,14-4-2021,Feature has not been updated in 5 years or more
124824458,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824461,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824462,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824463,way,last_update,7-11-2016,Feature has not been updated in 5 years or more
124824465,way,last_update,13-8-2011,Feature has not been updated in 5 years or more
124824466,way,last_update,23-1-2020,Feature has not been updated in 5 years or more
124824467,way,last_update,12-8-2011,Feature has not been updated in 5 years or more
124824468,way,last_update,12-8-2011,Feature has not been updated in 5 years or more
124824470,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824471,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824472,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824477,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824483,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824484,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824485,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824486,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824487,way,last_update,16-11-2018,Feature has not been updated in 5 years or more
124824488,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824489,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824491,way,last_update,6-8-2011,Feature has not been updated in 5 years or more
124824492,way,last_update,23-1-2020,Feature has not been updated in 5 years or more
