osm_id,feat_type,key,value,commentary
99288354,way,name,基町地下道,most sidewalks don't have an actual name
123685298,way,name,平和の道,most sidewalks don't have an actual name
123685303,way,name,平和の道,most sidewalks don't have an actual name
123685305,way,name,平和の道,most sidewalks don't have an actual name
124723409,way,name,平和の道,most sidewalks don't have an actual name
124723418,way,name,平和の道,most sidewalks don't have an actual name
124723425,way,name,平和の道,most sidewalks don't have an actual name
124723427,way,name,平和の道,most sidewalks don't have an actual name
124723429,way,name,平和の道,most sidewalks don't have an actual name
124723461,way,name,平和の道,most sidewalks don't have an actual name
124723488,way,name,平和の道,most sidewalks don't have an actual name
124862242,way,name,平和の道,most sidewalks don't have an actual name
125128097,way,name,元安橋北歩道,most sidewalks don't have an actual name
125128189,way,name,基町地下道,most sidewalks don't have an actual name
125746329,way,name,文化の道,most sidewalks don't have an actual name
125746365,way,name,元安橋南歩道,most sidewalks don't have an actual name
125746437,way,name,灯和の径,most sidewalks don't have an actual name
125746595,way,name,文化の道,most sidewalks don't have an actual name
126073495,way,name,平和の道,most sidewalks don't have an actual name
126073607,way,name,平和の道,most sidewalks don't have an actual name
126073743,way,name,平和の道,most sidewalks don't have an actual name
126073755,way,name,平和の道,most sidewalks don't have an actual name
126073757,way,name,平和の道,most sidewalks don't have an actual name
139488085,way,name,霞陸橋,most sidewalks don't have an actual name
168860048,way,name,文化の道,most sidewalks don't have an actual name
233209086,way,name,井口地下道,most sidewalks don't have an actual name
429457952,way,name,天神川プロムナード,most sidewalks don't have an actual name
429457958,way,name,天神川プロムナード,most sidewalks don't have an actual name
429457960,way,name,天神川プロムナード,most sidewalks don't have an actual name
442982351,way,name,平和の道,most sidewalks don't have an actual name
442982353,way,name,平和の道,most sidewalks don't have an actual name
442982354,way,name,平和の道,most sidewalks don't have an actual name
451806159,way,name,灯和の径,most sidewalks don't have an actual name
